,x0,x1,x2,y0,y1,y2,t0,t1,t2,d0,d1,d2,TV0,TV1,TV2,HV0,HV1,HV2,VV0,VV1,VV2,A0,A1,A2,AM0,AM1,AM2,AV0,AV1,AV2,J0,J1,J2,Seg_id,avg_x,avg_y,avg_t,avg_d,avg_tv,avg_hv,avg_vv,avg_a,avg_am,avg_av,avg_j,min_x,max_x,min_y,max_y,min_vv,max_vv,min_hv,max_hv,min_tv,max_tv,min_a,max_a,min_am,max_am,min_j,max_j,min_d,max_d,min_av,max_av,min_t,max_t,label
0,705,707,711.0,233,233,233.0,839.2849999945611,871.3850000058301,887.2349999728613,0.0,2.0,4.0,0.0,0.1261829655621516,0.2496878895273827,0.0,0.0623052959282829,0.2523659311243033,0.0,0.0,0.0,0.0,0.0079610703990295,0.0155860105441596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002480084235587,0.0004810687798732,1.0,707.6666666666666,233.0,865.9683333244175,2.0,0.12529028502984477,0.10489040901752872,0.10489040901752872,0.007849026981063033,0.0,0.0,0.00024302573447730004,705.0,711.0,233.0,233.0,0.0,0.0,0.0,0.2523659311243033,0.0,0.2496878895273827,0.0,0.0155860105441596,0.0,0.0,0.0,0.0004810687798732,0.0,4.0,0.0,0.0,839.2849999945611,887.2349999728613,9
1,716,723,750.0,233,233,233.0,903.2550000119954,919.2700000130573,943.2249999954364,5.0,7.0,27.0,0.3122073056302545,0.2922145691984555,1.687499999656211,0.3121098619092283,0.4370902278823564,1.1271133383369,0.0,0.0,0.0,0.0194946803377806,0.0121984792074055,0.1054687499570263,0.0,0.0,0.0,0.0,0.0,0.0,0.0002439868779071,0.0004555854592501,0.0038935617123033,2.0,729.6666666666666,233.0,921.9166666734964,13.0,0.7639739581616404,0.6254378093761616,0.6254378093761616,0.04572063650073747,0.0,0.0,0.0015310446831535002,716.0,750.0,233.0,233.0,0.0,0.0,0.3121098619092283,1.1271133383369,0.2922145691984555,1.687499999656211,0.0121984792074055,0.1054687499570263,0.0,0.0,0.0002439868779071,0.0038935617123033,5.0,27.0,0.0,0.0,903.2550000119954,943.2249999954364,9
2,774,793,815.0,237,241,248.0,959.224999998696,975.2199999638832,991.2250000052154,24.33105012119288,19.4164878389476,23.08679276123039,1.5211660002593923,1.2131513769950335,1.442924547282937,1.4999999996944098,1.1878712123384287,1.3745704431856371,0.2499999999490683,0.250078149965985,0.4373633228317936,0.0951025947840064,0.0757982739057877,0.0901827841868109,0.1651486774146268,0.2074962264352026,0.3080527810237764,0.0103217923363113,0.0026475491786648,0.0062828212639107,0.0006478846981817,0.0012068972128936,0.0008987510305452,3.0,794.0,242.0,975.2233333225983,22.278110240456954,1.3924139748457875,1.3541472184061585,1.4999349926834231,0.08702788429220167,0.22689922829120193,0.006417387592962266,0.0009178443138734999,774.0,815.0,237.0,248.0,0.2499999999490683,0.4373633228317936,1.1878712123384287,1.4999999996944098,1.2131513769950335,1.5211660002593923,0.0757982739057877,0.0951025947840064,0.1651486774146268,0.3080527810237764,0.0006478846981817,0.0012068972128936,19.4164878389476,24.33105012119288,0.0026475491786648,0.0103217923363113,959.224999998696,991.2250000052154,9
3,837,862,891.0,253,260,264.0,1007.225000008475,1023.2700000051408,1039.2850000062026,22.56102834535696,25.96150997149434,29.27456233660889,1.406109588659714,1.621074615658647,1.8365472033486328,1.3749999997198756,1.5581177940289794,1.8108023726554765,0.3124999999363353,0.4362729823281142,0.2497658445042036,0.0876353748178187,0.1012222675960773,0.115216261522371,0.223476601140633,0.2730087030867106,0.1370661743101876,0.0052860112416195,0.0030870739767136,0.0084884501259763,0.0001592130855295,0.0008467991761347,0.0008738054277468,4.0,863.3333333333334,259.0,1023.2600000066062,25.93236688448673,1.6212438025556646,1.5813067221347772,1.6645620036361783,0.10135796797875567,0.21118382617917708,0.005620511781436467,0.0006266058964703333,837.0,891.0,253.0,264.0,0.2497658445042036,0.4362729823281142,1.3749999997198756,1.8108023726554765,1.406109588659714,1.8365472033486328,0.0876353748178187,0.115216261522371,0.1370661743101876,0.2730087030867106,0.0001592130855295,0.0008738054277468,22.56102834535696,29.27456233660889,0.0030870739767136,0.0084884501259763,1007.225000008475,1039.2850000062026,9
4,921,949,969.0,267,269,270.0,1055.2249999600465,1071.2300000013784,1087.4349999940025,30.14962686336267,28.0713376952364,20.024984394500787,1.8837629981570008,1.732263974576594,1.2654018567128034,1.8820577218863808,1.7494532913271743,1.2341869798891365,0.188205772188638,0.1249609493805124,0.0617093489944568,0.1176984063287896,0.1068968821576719,0.0799622025878801,0.099668652491162,0.0713074647852903,0.0499583957219427,0.002346143157297,0.0017720204706423,0.0013174371535368,0.0001557179933253,0.0006748843575897,0.0016621215416261,5.0,946.3333333333334,268.6666666666667,1071.296666651809,26.08198298436662,1.6271429431487994,1.6218993310342305,1.6424691140323828,0.1015191636914472,0.07364483766613167,0.0018118669271587,0.0008309079641803667,921.0,969.0,267.0,270.0,0.0617093489944568,0.188205772188638,1.2341869798891365,1.8820577218863808,1.2654018567128034,1.8837629981570008,0.0799622025878801,0.1176984063287896,0.0499583957219427,0.099668652491162,0.0001557179933253,0.0016621215416261,20.024984394500787,30.14962686336267,0.0013174371535368,0.002346143157297,1055.2249999600465,1087.4349999940025,9
5,986,1023,1047.0,270,270,270.0,1103.2600000035018,1127.2449999814853,1143.2700000004843,17.0,37.0,24.0,0.7087763191830206,2.3088923529568426,1.5042306477704936,1.0742496044104377,1.5426308123395154,1.4976599046206545,0.0,0.0,0.0,0.0295508159196841,0.1440806458795293,0.0942795767371682,0.0,0.0,0.0,0.0031569286377221,0.0,0.0,0.0031855536580053,0.0047750606656233,0.0031077110192397,6.0,1018.6666666666666,270.0,1124.5916666618239,26.0,1.5072997733034523,1.3715134404568692,1.3715134404568692,0.0893036795121272,0.0,0.0010523095459073668,0.0036894417809561,986.0,1047.0,270.0,270.0,0.0,0.0,1.0742496044104377,1.5426308123395154,0.7087763191830206,2.3088923529568426,0.0295508159196841,0.1440806458795293,0.0,0.0,0.0031077110192397,0.0047750606656233,17.0,37.0,0.0,0.0031569286377221,1103.2600000035018,1143.2700000004843,9
6,1067,1080,1090.0,270,271,272.0,1159.2250000103377,1175.234999973327,1191.2199999787845,20.0,13.038404810405298,10.04987562112089,1.2492192408641194,0.8156649862967635,0.6255758232657576,1.2535255398087446,0.8119925065616777,0.6255864871182878,0.0,0.0624609620432059,0.0625586487118287,0.0780274355872563,0.0510268993442778,0.03894029393082,0.0,0.076771891269778,0.099668652491162,0.0,0.0047952461865867,0.0014323904418871,0.0010186237003995,0.0016864794694188,0.0007561217021789,7.0,1079.0,271.0,1175.2266666541498,14.362760143842062,0.8968200168088801,0.8970348444962366,0.9178877274001795,0.0559982096207847,0.05881351458698,0.0020758788761579333,0.0011537416239990666,1067.0,1090.0,270.0,272.0,0.0,0.0625586487118287,0.6255864871182878,1.2535255398087446,0.6255758232657576,1.2492192408641194,0.03894029393082,0.0780274355872563,0.0,0.099668652491162,0.0007561217021789,0.0016864794694188,10.04987562112089,20.0,0.0,0.0047952461865867,1159.2250000103377,1191.2199999787845,9
7,1105,1124,1136.0,272,274,276.0,1207.2850000113249,1223.4849999658763,1239.3300000112504,15.0,19.1049731745428,12.16552506059644,0.9259259285235792,1.2057414401914448,0.7694829282976142,0.9337068141684904,1.1728395094632005,0.7573366971054956,0.0,0.1234567904698105,0.1262227828509159,0.0571559216741501,0.0760960199898176,0.0486706470943262,0.0,0.1048769387302338,0.1651486774146268,0.0062040866659992,0.0064738851249668,0.0038038332920036,0.0011338703832202,0.0011691418746174,0.0017308534437965,8.0,1121.6666666666667,274.0,1223.3666666628171,15.423499411713081,0.9670500990042128,0.9546276735790622,0.9967019345293675,0.0606408629194313,0.09000853871495353,0.005493935027656534,0.0013446219005447003,1105.0,1136.0,272.0,276.0,0.0,0.1262227828509159,0.7573366971054956,1.1728395094632005,0.7694829282976142,1.2057414401914448,0.0486706470943262,0.0760960199898176,0.0,0.1651486774146268,0.0011338703832202,0.0017308534437965,12.16552506059644,19.1049731745428,0.0038038332920036,0.0064738851249668,1207.2850000113249,1239.3300000112504,9
8,1140,1141,1142.0,277,277,277.0,1255.13999996474,1271.294999984093,1390.9749999875205,4.123105625617661,1.0,1.0,0.2552216416390211,0.0083556149730227,0.0611995105056314,0.2530044283217773,0.0619003403777189,0.0083556149730227,0.0632511070804443,0.0,0.0,0.0157983064892156,6.981630157740202e-05,0.0037453800861288,0.2449786631268641,0.0,0.0,0.005049334974515,0.0151642626328314,0.0,0.0020792119355986,0.0009735988962424,3.07115957924986e-05,9.0,1141.0,277.0,1305.8033333121177,2.04103520853922,0.1082589223725584,0.10775346122417295,0.10775346122417295,0.006537834292307268,0.08165955437562136,0.006737865869115466,0.0010278408092111663,1140.0,1142.0,277.0,277.0,0.0,0.0632511070804443,0.0083556149730227,0.2530044283217773,0.0083556149730227,0.2552216416390211,6.981630157740202e-05,0.0157983064892156,0.0,0.2449786631268641,3.07115957924986e-05,0.0020792119355986,1.0,4.123105625617661,0.0,0.0151642626328314,1255.13999996474,1390.9749999875205,9
9,1142,1143,1146.0,278,280,282.0,1407.314999960363,1439.2249999800697,1455.214999965392,1.0,2.23606797749979,3.605551275463989,0.0313381384952186,0.1398416497531167,0.2256289905938375,0.0,0.0313381384952186,0.1876172609602113,0.0611995105056314,0.0626762769904372,0.1250781739734742,0.0009820789243455,0.0087455690982789,0.0141194612160501,1.5707963267948966,1.1071487177940904,0.5880026035475675,0.0961319663038915,0.0145298529838442,0.0324669239976898,0.0001691126784807,0.0002432933302769,0.0003360783066106,10.0,1143.6666666666667,280.0,1433.9183333019416,2.2805397509879266,0.13226959294739093,0.07298513315180997,0.1146778578096347,0.0079490364128915,1.0886492160455181,0.04770958109514183,0.0002494947717894,1142.0,1146.0,278.0,282.0,0.0611995105056314,0.1250781739734742,0.0,0.1876172609602113,0.0313381384952186,0.2256289905938375,0.0009820789243455,0.0141194612160501,0.5880026035475675,1.5707963267948966,0.0001691126784807,0.0003360783066106,1.0,3.605551275463989,0.0145298529838442,0.0961319663038915,1407.314999960363,1455.214999965392,9
