,x0,x1,x2,y0,y1,y2,t0,t1,t2,d0,d1,d2,TV0,TV1,TV2,HV0,HV1,HV2,VV0,VV1,VV2,A0,A1,A2,AM0,AM1,AM2,AV0,AV1,AV2,J0,J1,J2,Seg_id,avg_x,avg_y,avg_t,avg_d,avg_tv,avg_hv,avg_vv,avg_a,avg_am,avg_av,avg_j,min_x,max_x,min_y,max_y,min_vv,max_vv,min_hv,max_hv,min_tv,max_tv,min_a,max_a,min_am,max_am,min_j,max_j,min_d,max_d,min_av,max_av,min_t,max_t,label
0,660,655,653,305,303,302,230.745,254.73,270.81,0,5.385164807,2.236067977,0,0.334898309,0.139623352,0,0.208463623,0.12437811,0,0.083385449,0.062189055,0,0.020827009,0.008718286,0,2.761086276,2.677945045,0,0.11511721,0.005170475,0,0.000868335,0.00075303,1,656,303.3333333,252.095,2.540410928,0.158173887,0.110947244,0.131676929,0.009848432,1.81301044,0.040095895,0.000540455,653,660,302,305,0,0.083385449,0,0.208463623,0,0.334898309,0,0.020827009,0,2.761086276,0,0.000868335,0,5.385164807,0,0.11511721,230.745,270.81,8
1,650,647,644,302,302,301,286.825,302.66,318.77,3,3,3.16227766,0.189453741,0.18621974,0.006687768,0.187324383,0.189453741,0.18621974,0,0,0.062073247,0.01196424,0.011559264,1.41E-05,3.141592654,3.141592654,2.819842099,0.028950834,0,0.019972101,0.000202682,2.56E-05,0.000716643,2,647,301.6666667,302.7516666,3.054092553,0.12745375,0.187665955,0.208357037,0.007845883,3.034342469,0.016307645,0.000314967,644,650,301,302,0,0.062073247,0.18621974,0.189453741,0.006687768,0.189453741,1.41E-05,0.01196424,2.819842099,3.141592654,2.56E-05,0.000716643,3,3.16227766,0,0.028950834,286.825,318.77,8
2,643,641,643,300,300,299,791.615,823.635,935.61,1.414213562,2,2.236067977,0.04416657,0.01786113,0.278290974,0.002114858,0.062460962,0.01786113,0.002114858,0,0.008930565,0.001379343,0.00015951,0.034634844,2.35619449,3.141592654,0.463647609,0.000980549,0.024528362,0.023915562,2.89E-06,3.81E-05,0.000307884,3,642.3333333,299.6666667,850.2866667,1.88342718,0.113439558,0.027478983,0.030455838,0.012057899,1.987144918,0.016474824,0.000116289,641,643,299,300,0,0.008930565,0.002114858,0.062460962,0.01786113,0.278290974,0.00015951,0.034634844,0.463647609,3.141592654,2.89E-06,0.000307884,1.414213562,2.236067977,0.000980549,0.024528362,791.615,935.61,8
3,647,651,666,299,299,299,943.645,951.605,967.53,4,4,15,0.502512565,0.251177394,0.916590285,0.497822028,0.502512565,0.941915227,0,0,0,0.06312972,0.015772521,0.056009183,0,0,0,0.057703498,0,0,0.003546344,0.005949397,0.002526635,4,654.6666667,299,954.26,7.666666667,0.556760081,0.647416607,0.647416607,0.044970475,0,0.019234499,0.004007459,647,666,299,299,0,0,0.497822028,0.941915227,0.251177394,0.916590285,0.015772521,0.06312972,0,0,0.002526635,0.005949397,4,15,0,0.057703498,943.645,967.53,8
4,682,730,798,299,299,299,983.895,1007.665,1023.595,16,48,68,0.673117374,3.013182675,4.2380804,0.977696304,2.019352122,4.268675457,0,0,0,0.028317937,0.189151455,0.264137139,0,0,0,0,0,0,0.001692102,0.00676624,0.004707199,5,736.6666667,299,1005.051667,44,2.64146015,2.421907961,2.421907961,0.160535511,0,0,0.004388514,682,798,299,299,0,0,0.977696304,4.268675457,0.673117374,4.2380804,0.028317937,0.264137139,0,0,0.001692102,0.00676624,16,68,0,0,983.895,1023.595,8
5,896,1001,1115,299,299,299,1039.64,1055.665,1071.625,98,105,114,6.115444611,6.578947373,7.263459696,6.107821753,6.552262083,7.142857147,0,0,0,0.381619008,0.412214748,0.462788129,0,0,0,0,0,0,0.007322024,0.001909251,0.003168758,6,1004,299,1055.643333,105.6666667,6.652617227,6.600980328,6.600980328,0.418873962,0,0,0.004133344,896,1115,299,299,0,0,6.107821753,7.142857147,6.115444611,7.263459696,0.381619008,0.462788129,0,0,0.001909251,0.007322024,98,114,0,0,1039.64,1071.625,8
6,1229,1321,1365,299,299,299,1087.32,1102.995,1118.845,114,92,44,7.272727285,5.804416395,0.775193798,7.263459696,5.869218511,2.776025232,0,0,0,0.463969844,0.366209236,0.013657396,0,0,0,0,0,0,7.53E-05,0.006236721,0.022243018,7,1305,299,1103.053333,83.33333333,4.617445826,5.302901146,5.302901146,0.281278825,0,0,0.009518344,1229,1365,299,299,0,0,2.776025232,7.263459696,0.775193798,7.272727285,0.013657396,0.463969844,0,0,7.53E-05,0.022243018,44,114,0,0,1087.32,1118.845,8
7,1365,1364,1361,298,298,299,1175.605,1407.605,1423.57,1,1,3.16227766,0.004310345,0.062637018,0.197518904,0,0.004310345,0.187911055,0.017618041,0,0.062637018,1.86E-05,0.003923396,0.012337221,1.570796327,3.141592654,2.819842099,0.027674354,0.006770674,0.020153495,0.000240289,1.68E-05,0.000527017,8,1363.333333,298.3333333,1335.593333,1.72075922,0.088155422,0.0640738,0.084952806,0.005426399,2.510743693,0.018199508,0.000261379,1361,1365,298,299,0,0.062637018,0,0.187911055,0.004310345,0.197518904,1.86E-05,0.012337221,1.570796327,3.141592654,1.68E-05,0.000527017,1,3.16227766,0.006770674,0.027674354,1175.605,1423.57,8
8,1357,1352,1351,300,300,300,1439.58,1455.595,1479.615,4.123105626,5,1,0.25745274,0.208159867,0.062421972,0.249843847,0.312207306,0.041631973,0.062460962,0,0,0.016075725,0.008666106,0.003896503,2.89661399,3.141592654,3.141592654,0.004795246,0.015296826,0,0.000233511,0.000462667,0.000198568,9,1353.333333,300,1458.263333,3.374368542,0.176011526,0.201227709,0.201227709,0.009546111,3.059933099,0.006697357,0.000298249,1351,1357,300,300,0,0.062460962,0.041631973,0.312207306,0.062421972,0.25745274,0.003896503,0.016075725,2.89661399,3.141592654,0.000198568,0.000462667,1,5,0,0.015296826,1439.58,1479.615,8
9,1351,1348,1344,301,302,303,1495.635,1503.61,1519.62,1,3.16227766,4.123105626,0.12539185,0.197518904,0.258097379,0,0.376175551,0.249843847,0.062421972,0.12539185,0.062460962,0.015723116,0.012337221,0.01615633,1.570796327,2.819842099,2.89661399,0.098052205,0.15662016,0.004795246,0.000738241,0.000424564,0.000238545,10,1347.666667,302,1506.288333,2.761794429,0.193669378,0.208673133,0.229493453,0.014738889,2.429084139,0.086489204,0.000467116,1344,1351,301,303,0.062421972,0.12539185,0,0.376175551,0.12539185,0.258097379,0.012337221,0.01615633,1.570796327,2.89661399,0.000238545,0.000738241,1,4.123105626,0.004795246,0.15662016,1495.635,1519.62,8
10,1331,1319,1316,304,304,304,1535.595,1559.515,1575.715,13.03840481,12,3,0.545083813,0.74074074,0.062571697,0.813771519,0.501672241,0.185185185,0.062597809,0,0,0.022787785,0.045724737,0.001305072,3.064820762,3.141592654,3.141592654,0.010529375,0.003209527,0,0.000415115,0.000958903,0.002741955,11,1322,304,1556.941667,9.346134937,0.449465417,0.500209648,0.500209648,0.023272531,3.116002023,0.004579634,0.001371991,1316,1331,304,304,0,0.062597809,0.185185185,0.813771519,0.062571697,0.74074074,0.001305072,0.045724737,3.064820762,3.141592654,0.000415115,0.002741955,3,13.03840481,0,0.010529375,1535.595,1575.715,8
11,1315,1308,1294,304,304,304,1623.66,1639.64,1655.615,1,7,14,0.062578223,0.438184662,0.876643707,0.020857232,0.43804756,0.876369325,0,0,0,0.003916034,0.0274294,0.054893156,3.141592654,3.141592654,3.141592654,0,0,0,5.45E-05,0.001471425,0.001719171,12,1305.666667,304,1639.638333,7.333333333,0.459135531,0.445091372,0.445091372,0.028746197,3.141592654,0,0.001081684,1294,1315,304,304,0,0,0.020857232,0.876369325,0.062578223,0.876643707,0.003916034,0.054893156,3.141592654,3.141592654,5.45E-05,0.001719171,1,14,0,0,1623.66,1655.615,8
12,1278,1260,1243,304,304,304,1671.585,1687.59,1703.57,16,18,17,0.999687599,1.126408012,1.06216807,1.001878522,1.124648549,1.063829789,0,0,0,0.062460956,0.070488612,0.066364765,3.141592654,3.141592654,3.141592654,0,0,0,0.000473876,0.000501572,0.000258063,13,1260.333333,304,1687.581667,17,1.06275456,1.063452287,1.063452287,0.066438111,3.141592654,0,0.00041117,1243,1278,304,304,0,0,1.001878522,1.124648549,0.999687599,1.126408012,0.062460956,0.070488612,3.141592654,3.141592654,0.000258063,0.000501572,16,18,0,0,1671.585,1703.57,8
13,1228,1214,1210,304,304,304,1719.575,1743.52,1759.675,15,14,4,0.626435582,0.866604765,0.250705108,0.93720712,0.58467321,0.247601362,0,0,0,0.026161436,0.05364313,0.015713263,3.141592654,3.141592654,3.141592654,0,0,0,0.002511923,0.001147701,0.002347872,14,1217.333333,304,1740.923333,11,0.581248485,0.589827231,0.589827231,0.031839276,3.141592654,0,0.002002499,1210,1228,304,304,0,0,0.247601362,0.93720712,0.250705108,0.866604765,0.015713263,0.05364313,3.141592654,3.141592654,0.001147701,0.002511923,4,15,0,0,1719.575,1759.675,8
14,1207,1204,1198,304,304,303,1775.63,1791.63,1807.555,3,3,6.08276253,0.1875,0.188383045,0.378281253,0.188028831,0.1875,0.376766091,0,0,0.062794348,0.01171875,0.011829391,0.023524954,3.141592654,3.141592654,2.976443976,0,0,0.010370404,0.000250361,6.92E-06,0.000734415,15,1203,303.6666667,1791.605,4.02758751,0.251388099,0.250764974,0.271696423,0.015691031,3.086543094,0.003456801,0.000330564,1198,1207,303,304,0,0.062794348,0.1875,0.376766091,0.1875,0.378281253,0.01171875,0.023524954,2.976443976,3.141592654,6.92E-06,0.000734415,3,6.08276253,0,0.010370404,1775.63,1807.555,8
15,1189,1178,1168,302,301,298,1823.635,1839.63,1855.675,9.055385138,11.04536102,10.44030651,0.566138489,0.688398942,0.657657104,0.559701494,0.68771491,0.623247118,0.062189055,0.062519537,0.186974135,0.035394716,0.042904266,0.041427219,3.030935432,3.050932766,2.850135859,0.003388772,0.001250224,0.012514609,0.000738169,0.000469494,9.21E-05,16,1178.333333,300.3333333,1839.646667,10.18035089,0.637398178,0.623554507,0.685879219,0.039908734,2.977334686,0.005717869,0.00043324,1168,1189,298,302,0.062189055,0.186974135,0.559701494,0.68771491,0.566138489,0.688398942,0.035394716,0.042904266,2.850135859,3.050932766,9.21E-05,0.000738169,9.055385138,11.04536102,0.001250224,0.012514609,1823.635,1855.675,8
